day,x,y,z
199,-1.3675550232499533E13,-9.923507930496187E11,1.965496196617917E7
200,-1.3743711782104229E13,-9.97193273643689E11,1.9712121629226413E7
201,-1.3811873326470602E13,-1.0020357538576243E12,1.9769281286125675E7
202,-1.3880034865650344E13,-1.0068782336952156E12,1.9826440936943423E7
203,-1.3948196399694389E13,-1.0117207131601971E12,1.9883600581745084E7
204,-1.4016357928652924E13,-1.0165631922562476E12,1.9940760220595054E7
205,-1.4084519452575404E13,-1.021405670986992E12,1.999791985355673E7
206,-1.4152680971510566E13,-1.0262481493560016E12,2.0055079480692524E7
207,-1.4220842485506443E13,-1.031090627366796E12,2.011223910206389E7
208,-1.4289003994610377E13,-1.0359331050228435E12,2.016939871773133E7
209,-1.4357165498869031E13,-1.0407755823275625E12,2.022655832775442E7
210,-1.4425326998328406E13,-1.0456180592843218E12,2.0283717932191838E7
211,-1.4493488493033852E13,-1.0504605358964421E12,2.034087753110137E7
212,-1.4561649983030074E13,-1.0553030121671971E12,2.0398037124539923E7
213,-1.4629811468361152E13,-1.0601454880998138E12,2.0455196712563567E7
214,-1.4697972949070555E13,-1.0649879636974739E12,2.051235629522751E7
215,-1.476613442520114E13,-1.0698304389633138E12,2.0569515872586165E7
216,-1.4834295896795176E13,-1.074672913900427E12,2.0626675444693133E7
217,-1.4902457363894346E13,-1.079515388511863E12,2.068383501160121E7
218,-1.497061882653976E13,-1.0843578628006299E12,2.074099457336244E7
219,-1.5038780284771973E13,-1.0892003367696938E12,2.07981541300281E7
220,-1.5106941738630979E13,-1.0940428104219802E12,2.0855313681648713E7
221,-1.5175103188156238E13,-1.0988852837603748E12,2.0912473228274073E7
222,-1.524326463338668E13,-1.1037277567877236E12,2.096963276995327E7
223,-1.5311426074360701E13,-1.108570229506835E12,2.1026792306734685E7
224,-1.53795875111162E13,-1.113412701920478E12,2.1083951838666007E7
225,-1.544774894369056E13,-1.118255174031386E12,2.114111136579424E7
226,-1.5515910372120676E13,-1.1230976458422546E12,2.1198270888165735E7
227,-1.5584071796442953E13,-1.1279401173557454E12,2.1255430405826185E7
228,-1.5652233216693322E13,-1.1327825885744824E12,2.1312589918820653E7
229,-1.5720394632907242E13,-1.1376250595010564E12,2.1369749427193552E7
230,-1.5788556045119713E13,-1.1424675301380242E12,2.14269089309887E7
231,-1.5856717453365277E13,-1.147310000487909E12,2.1484068430249292E7
232,-1.5924878857678035E13,-1.152152470553201E12,2.1541227925017938E7
233,-1.5993040258091652E13,-1.1569949403363582E12,2.1598387415336665E7
234,-1.6061201654639354E13,-1.1618374098398071E12,2.1655546901246913E7
235,-1.6129363047353951E13,-1.1666798790659429E12,2.1712706382789575E7
236,-1.6197524436267842E13,-1.1715223480171304E12,2.1769865860004984E7
237,-1.6265685821413006E13,-1.1763648166957034E12,2.1827025332932927E7
238,-1.6333847202821025E13,-1.181207285103967E12,2.1884184801612653E7
239,-1.6402008580523084E13,-1.186049753244197E12,2.1941344266082887E7
240,-1.6470169954549982E13,-1.1908922211186406E12,2.199850372638185E7
241,-1.6538331324932135E13,-1.1957346887295166E12,2.205566318254725E7
